Datetime,Tweet Id,Text,Username
2020-12-23 15:52:13+00:00,1341773616581496839,@cryoverloud psang xlhome aj,dhimurguy
2020-12-23 05:04:02+00:00,1341610492964433920,"@xlhomeid CSR udah jalan, kapan nambah coverage area-nya min ? nih aing di depok ga dapet XLHome",PicuPiee
2020-12-23 02:56:25+00:00,1341578380278284288,pelanggan lama sdh mulai jenuh sama @IndiHome terlalu sering mati layanannya...ada saran buat provider lain untuk internet daerah buncit?sayang XL Home belum masuk ke Buncit #indihome #telkom #xlhome #firtmedia #biznet,fauzi_kodok
2020-12-22 19:45:14+00:00,1341469866188886016,XLHome ? Apakah gangguan?,CadelAL
2020-12-22 16:08:41+00:00,1341415372382117889,#XL HOME Edutainment Zone Donasi Akses Internet Fiber untuk Pembelajaran Jarak Jauh. Kunjungi https://t.co/AoOtgS6F35 . #hdp #xlaxiata #xlhome https://t.co/YDL6xjV7rG,prokabar
2020-12-22 09:05:40+00:00,1341308916446052353,XLHome ditempat sy (Kota Banjarabaru - Kalsel) gangguan sejak pagi tadi. Mohon perhatian utk segera diperbaiki min @myXLCare . Terima kasih,HegarWH
2020-12-22 08:26:14+00:00,1341298994056577025,@xlhomeid dimakassar sebagian user XLHome signal nya down ??? Knp?,zqwearsprada
2020-12-22 08:09:02+00:00,1341294664838598656,"@sahrullmubaraq  Hi Sahrul, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-22 05:28:20+00:00,1341254222617047040,@djvorstre Hallo. Maaf area ini belum tercover jaringan xlhome.,xlhomejogja
2020-12-22 00:18:34+00:00,1341176266255343618,@xtrymind aku juga lambat banget kaak pakenya xlhome 300 mbps cuman 300k per bulan kak :( FUP nya ∞ GB hiks,faisalagustp
2020-12-21 13:02:12+00:00,1341006051781484545,"Padahal gue jg pas di pke tv streaming xlhome tu cuma msk in email doang biar ad account nya, gue g pernah berlangganan pas nntn juga g premier trs tb2 dpt email begini😭 https://t.co/EXESAIdjLx",orangelemoncros
2020-12-21 13:00:32+00:00,1341005635186348032,Sumpah takut bgt tb2 dpt email gini dr vidio padahal gue g ada app vidio trs g pernah ikut berlangganan jg pas gue cek metode pembayarannya budling xlhome LAHHH gue aj udh hampir 2 bln yg lalu dicopot xlhomeny sumpah takut bgt ditagih sm pihak xlhome😭 https://t.co/SFsxjCXEvF,orangelemoncros
2020-12-21 12:37:45+00:00,1340999901379846145,@raisanadhifa xlhome joss,werxudara
2020-12-21 11:48:42+00:00,1340987558017314818,Informasi Paket XLHome 1Gbps Tidak Sesuai Kenyataan - https://t.co/TKLkKMPFly | cc @myXLCare,MediaKonsumenID
2020-12-21 09:53:15+00:00,1340958502999580672,@SoundOfYogi XLHome masuk ko Om,nurhiimanda
2020-12-21 05:20:11+00:00,1340889781127901184,"@SiwaHan Hi Siwa, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-21 04:55:39+00:00,1340883610824372227,"@blackvvhitegrey gws xlhome :""",BETADlNE
2020-12-21 04:47:25+00:00,1340881538741723136,@xlhomeid @powpong_ temen saya @powpong_ mau pake xlhome min,hamsterkura
2020-12-21 02:36:55+00:00,1340848694493552640,@bidazari heem aku pake xlhome😐,aurouxra
2020-12-21 02:31:13+00:00,1340847262528806913,@LAGlSEDIH Aku yang huga emosi dengan xlhome 🙂,blackvvhitegrey
2020-12-21 00:06:07+00:00,1340810745227870208,"@yusrlry  Hi Yusrlry, cek https://t.co/VHvnacRvKF yuk untuk informasi layanan dan produk XLHOME Fiber yang kami tawarkan. Thanks^Adi :)",xlhomeid
2020-12-20 14:55:24+00:00,1340672153872596992,xlhome kalo malem jelek bgt najis,monoinaugust
2020-12-20 14:47:53+00:00,1340670260391755776,@xlhomeid @Rezki_Alfiannor Iyaa bagusan xlhome dong,ergapradanaaaa
2020-12-20 12:51:18+00:00,1340640921151401986,Xlhome agak ngelunjak ya 2 hari ini... saya jadi gabisa ngewibu,inosensiacan
2020-12-20 06:02:22+00:00,1340538012006924288,"@maulidyaputeri Hi Maulidya, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-20 03:22:35+00:00,1340497798299447297,@xlhomeid saya udah ngehub 1 bulan yg lalu tapi belum Dateng juga ni orang xlhome,Cicak03303366
2020-12-20 00:41:50+00:00,1340457345059471362,"@DoniTiyas  Hi Doni, maaf atas ketidaknyamanannya dan mohon informasikan data diri detailnya via DM ya. Akan kami bantu follow up hal tersebut ke tim XLHOME Fiber. Thanks^Adi :)",xlhomeid
2020-12-20 00:33:35+00:00,1340455271173218305,"@DoniTiyas  Hi Doni, kami bantu cek untuk gambar yang ditampilkan memang milik XLHOME ya. Adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-19 14:41:24+00:00,1340306242783170560,"Akhir tahun: Bengong❌Kesal dan stress karena #JaringanInternetRTO✅ Buat kalian yang berlangganan XLHome tau ngga kalau keluhan kalian ngga akan diperbaiki oleh XLHome? Buktiin aja lemotnya! Baca disini👇🏻@xlhomeid @myXL @AXISgsm",maulaniirham
2020-12-19 14:31:47+00:00,1340303821403090949,"@indodax hallo indodax kenapa saya logi di PC salalu too many request ya? saya pakai provider xlhome kenapa ya? saya udah coba berkali kali, sampai saya restart komputer saya dan saya restart wifi saya tetep aja. kenapa ini? pusing saya mau treding https://t.co/4B7UcTI3aK",zakkichukak
2020-12-19 11:47:14+00:00,1340262410142109696,@naishix6 AMINNN XLHOME AYO BERSAHABAT,youngkrrrr
2020-12-19 08:50:22+00:00,1340217901165420549,"@vaiosyhr Dipotong bulan kemaren cepe bro 😂 ini dah nanya oxygen, xlhome, indihome, mana yg cepet aja",Penk6
2020-12-19 05:55:58+00:00,1340174013461454851,"@anugerahrade  Hi Anugerahrade, informasi perihal layanan XLHOME Fiber bisa langsung cek di https://t.co/VHvnacRvKF ya. Thanks^Adi :)",xlhomeid
2020-12-19 04:24:10+00:00,1340150911167959040,"@rasjawa saya pengguna xlhome. dan puas sampai saat ini..stream, zoom dll lancar jaya",zainus81
2020-12-19 04:13:56+00:00,1340148333029965824,"@bimoariefputro  Hi Bomi, yuk cek di https://t.co/XopGMT03pa terkait dengan informasi layanan dan produk XLHOME Fiber. Thanks^Adi :)",xlhomeid
2020-12-19 04:04:47+00:00,1340146032831647744,"@rayzapratama Hi Rayzapratama, yuk cek langsung di https://t.co/XopGMT03pa untuk detail informasi layanan dan produk yang XLHOME Fiber tawarkan. Thanks^Adi :)",xlhomeid
2020-12-19 02:59:00+00:00,1340129475778859009,"@ramadhansk Hi Ramadhan, saat ini kami sampaikan bahwa XLHOME Fiber sedang melakukan perluasan area jaringan ya. Sekiranya areanya belum tercover, Ramadhan dapat melakukan pengajuan penambahan jaringan di area Ramadhan melalui .. https://t.co/q8nc9WegwI",xlhomeid
2020-12-19 00:06:39+00:00,1340086104423198721,"@Lindanu27858624  Hi Linda, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-18 17:58:33+00:00,1339993468509155329,@xlhomeid min kenapa sinyal xlhome di tempat saya gak bisa di gunain ya? Padahal saya baru byar tagihan,summerrany
2020-12-18 06:26:26+00:00,1339819292989145088,TWITTER DOWN APA XLHOME BALA NIH,hoshismaid
2020-12-18 01:26:09+00:00,1339743722603380736,"@mdykamal  Hi Kamal, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-18 01:25:26+00:00,1339743542030176261,"@xlhomeid hai xlhome. aku langganan paket dgn speed up to 50mbps dan dapet promo selama 6 bulan free up to 100mbps tp nyatanya rata2 cuman 30-40an mbost https://t.co/WEqK1JG0KV",nonchae
2020-12-17 18:27:03+00:00,1339638254400724993,"Tolong dong xlhome, biznet, myrepublic, cbn plis bgt salah satu dri kalian ngejangkau ke rumah gue miris bgt ya allah😭",_nrnss_
2020-12-17 17:52:45+00:00,1339629619406721025,@helmaahera pindah xlhome aja kak😭🔥🔥,Theshaining
2020-12-17 14:28:25+00:00,1339578198632189954,@fajripopo Saat ini XLHOME Fiber belum sampai area Prambanan nih. Yuk lakukan pengajuan penambahan jaringan di area Fajri  melalui Website kami di : https://t.co/zmOQXNLT1a agar dapat kami jadikan rekomendasi untuk melakukan perluasan jaringan berikutnya :) Thanks ^Adi,xlhomeid
2020-12-17 14:22:27+00:00,1339576695985074177,@draavgon @myXL xlhome jg ngadat mulu anjrot kesal,aurouxra
2020-12-17 14:20:04+00:00,1339576099374727169,"@fajripopo Hi Fajri, yuk cek di https://t.co/VHvnacRvKF untuk informasi lebih lanjut terkait dengan layanan dan produk XLHOME Fiber kami. Thanks^Adi :)",xlhomeid
2020-12-17 13:52:50+00:00,1339569242929131520,"@Satria77436822 Hi Satria, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-17 10:27:31+00:00,1339517573226885120,"@ozi_zakaria Hi Achmad,  XLHOME Fiber ialah layanan akses internet super cepat dengan menggunakan kabel serat optik dan juga memberikan produk Home Entertainment berupa Set Top Box (decoder TV digital/ Android TV box) ya. Thanks ^Mira",xlhomeid
2020-12-16 22:46:55+00:00,1339341262260817922,@fitroonggg pit maneh make indihome nya. Duh xlhome begini gak yah ? 🤔 https://t.co/kkYuQRHOAF,Tirabiya
2020-12-16 14:36:44+00:00,1339217904856797184,"@inidanangg  Hi Danang, cek langsung di https://t.co/VHvnacRvKF terkait dengan informasi layanan dan produk yang XLHOME Fiber tawarkan. Thanks^Adi :)",xlhomeid
2020-12-16 14:07:59+00:00,1339210667434209281,"@rose_angelinaa  Hi Rose, terima kasih dukungannya dan terkait dengan layanan XLHOME Fiber bisa langsung cek di https://t.co/VHvnacRvKF ya. Thanks^Adi :)",xlhomeid
2020-12-16 06:24:25+00:00,1339094007889072129,"@Yonatanferonal1  Hi Yonatan, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-15 15:39:00+00:00,1338871185971367936,@afianfl @IndiHome pindah ke xlhome https://t.co/SbbUwpYbj5,mstvlmn
2020-12-15 14:05:21+00:00,1338847619578130439,@Anan87V @potabeekeju sama juga ini ketolong xlhome,difanobagus
2020-12-15 13:33:31+00:00,1338839605328584705,"@tioammar @secgron @IndiHome Sejelek-jeleknya pelayanan dan kecepatan XLHome paling ngga netflix selalu 1080P bahkan saat dipakai untuk dua layar secara bersamaan. Memang indihome nya, toh di group netflix pernah bilang lancar indihome kalau pakai vpn",maulaniirham
2020-12-15 00:25:10+00:00,1338641213507813381,"@DapurEngkong  Hi, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-14 14:30:23+00:00,1338491531825594368,@xlhomeid Saya sudah selalu melapor. Tau ngga? Gangguannya memang ngga pernah diperbaiki langsung. Malah nyuruh semua staff agar meng-edukasi pelanggan yang ngeluh. Buat apa? Buat memaklumi ketidak kompetenan kalian? Shame on you @xlhomeid @myXL @xlhome,maulaniirham
2020-12-14 14:27:36+00:00,1338490830865063937,@xlhomeid Eh serius google down min? Kok saya ngga tau ya? Wah ternyata internet saya dari @xlhomeid yang ternyata selalu RTO. Terima kasih XLHOME,maulaniirham
2020-12-14 13:11:03+00:00,1338471565298548737,@myXLCare min xlhome ikutan fomo down google kah ?,mrgobx
2020-12-14 12:18:03+00:00,1338458228162588674,@lalala_vousgl papa gue nyalahin XLhome njrt 🤣,starsoora
2020-12-14 12:01:15+00:00,1338453998030835714,@matcha_latte79 kamu pake wifi Xlhome?,starsoora
2020-12-14 06:10:59+00:00,1338365851561414658,xlhome knp sih istipar coba,aurouxra
2020-12-14 04:28:10+00:00,1338339976145092608,"@khairilfa XLHome aja, Ka",Ryodanshin
2020-12-13 13:00:14+00:00,1338106456516673536,@miasmatic_ Aq c pake xlhome kak. 300an tp okeoce,riyopbd
2020-12-13 11:11:56+00:00,1338079201946046467,"@rose_angelinaa Hi Rose, terkait layanan XLHome Fiber bisa disampaikan melalui DM ya :) Thanks ^Devie",xlhomeid
2020-12-13 07:28:08+00:00,1338022878164340737,"@asambasaharam itu seragam teknisi XLhome xixixixi, akhirnya bisa lepas dari indihome🤣",Didaann
2020-12-13 04:28:31+00:00,1337977678658297857,Sumpah lebih bagus customer service indihome.... Seumur hidup gak pernah dapat provider separah xlhome,baksorexia
2020-12-13 04:17:04+00:00,1337974795292475392,@mks_fess XLHOME JG BAGUS,hib3byy
2020-12-13 00:13:20+00:00,1337913460806414336,"@rose_angelinaa  Hi Rose, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-13 00:11:27+00:00,1337912983779909633,"@Fauzan_Adnan1  Hi Fauzan, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-12 12:59:23+00:00,1337743854741536770,"@Fauzan_Adnan1  Hi Fauzan, adakah yang bisa kami bantu mengenai XLHOME Fiber? Thanks^Adi :)",xlhomeid
2020-12-12 12:29:54+00:00,1337736432970911747,Xlhome bikin emosi dahh😡🤬🤬,chocolavarr
2020-12-12 12:12:22+00:00,1337732021511102464,"kalo kuota gue abis gue salahin xlhome asli, gak guna bgt jd wifi:(",hoszhiii
2020-12-12 11:39:35+00:00,1337723771688345601,"Cuman balifiber aja yg nyanggupin masuk sini. Oxygen, biznet, myrep, cbn, xlhome, mncplay, indosat gig lewat semua lewatttt. Paan lagi yak selain itu sama indihome fm?? Bapuk bapuk bapukkkk",tyoharbowo
2020-12-12 10:33:10+00:00,1337707057261133824,"@conankotahujans  Hi Anando, layanan XLHOME Fiber menyediakan akses internet untuk layanan Netflix namun untuk biaya berlangganannya di luar dari biaya berlangganan XLHOME Fiber ya. Thanks^Adi :)",xlhomeid
2020-12-12 06:30:42+00:00,1337646037222129664,"Kenapa ya Indihome udah ftth tapi gak berani kasih harga yg murah meriah kaya provider baru, let's say Myrep, Xlhome, Oxygen dll. https://t.co/W53vAdmL8G",Arrivederciao
2020-12-12 06:12:07+00:00,1337641361663639553,"@Arnovi_  Hi Arnovi, XLHOME Power Wifi hanya diperuntukkan bagi pelanggan XLHOME Fiber saja nih. Jadi tidak bisa digunakan untuk provider lain ya. Thanks^Adi :)",xlhomeid
2020-12-12 04:06:06+00:00,1337609649038663680,Xlhome lu udah gua bayar jangan bikin gua emosi ngapa😭😭,kangmukuldoun
2020-12-12 02:28:23+00:00,1337585057133854721,"@0__16911120_   Hi,  apakah ada yang ditanyakan terkait dengan layanan XLHome Fibernya? Thanks ^Dian",xlhomeid
2020-12-12 02:01:58+00:00,1337578408897773570,"Tang Ina ka xlhome Bobo mo router bugok https://t.co/x2nPo7zrOz",Adeknya_sumail
2020-12-12 01:03:32+00:00,1337563705282764802,@xlhome hello pls sinyalnya gak ada....,chiclino
2020-12-12 00:21:12+00:00,1337553049422712832,"@dhzyazz  Hi Dhzyazz, mohon maaf untuk ketidaknyamanannya. Terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-12 00:06:51+00:00,1337549440819740672,"@fucekrii  Hi Aaronfahri, terkait layanan XLHome Fiber bisa disampaikan via DM ya :) Thanks ^Dian",xlhomeid
2020-12-11 17:56:47+00:00,1337456307356528647,@nobfody teuing nih xlhome minta disantet bgt,aurouxra
2020-12-11 17:53:30+00:00,1337455483217539073,@selenopfhile sama anjrot mana xlhome ngeselin bgt minta ditampol,aurouxra
